///////////////////////////////////////////////////////////////////////////////////////////////									
//	[ Text Version ]	1.1.9.0							
//	[ Test Sever ver ]	-							
//	[ Main Sever ver ]	레드서버용 SetBase							
//	[ Athor ]	사재일							
//	[ Data ]	2015-06-02 16:50							
//	[ 내용 ]	황금콜로서스이벤트 종료							
///////////////////////////////////////////////////////////////////////////////////////////////									
// script type 									
// 0 : 움직이지 않는 몬스터.(리젠 좌표 고정형) 1.3: 기준 좌표 내 랜덤 생성									
// 1 : 악마의 광장.데비아스.노리아(일본사용)									
// 2 : 일반 몬스터									
// 3 : 생성되기만 하고 활동은 하지 않는 몬스터(즉 안보이다가 이벤트 발생시 살아남) - 복주머니 이벤트시 해당 카테고리 사용									
// 3 : type mapnumber distance x y dir total //distance는 해당 거리만큼 타일 주위에서 랜덤 생성// dir은 NPC 방향									
// 4 : 블러드캐슬 및 카오스캐슬 전용									
// 6 : 아케론 속성 몬스터 (1/불, 2/물, 3/땅, 4/바람. 5/어둠)									
// 데이터 중간에 추가하지말고 무조건 최하단으로 추가할 것									
	//type	distance	distance	x	y	x	y	dir	total
3	      								
	43	3	30	10	10	240	240	-1	2
	44	0	30	182	128	195	145	-1	2
	53	0	30	185	132	185	132	-1	1
//	55	0	30	17	130	17	130	-1	1
	54	0	30	183	128	188	135	-1	2
	56	0	30	132	83	138	90	-1	2
									
	78	0	30	10	10	240	240	-1	1
	79	0	30	10	10	240	240	-1	2
									
	80	0	30	185	132	185	132	-1	1
	81	0	30	132	83	132	83	-1	2
	82	0	30	183	128	188	135	-1	1
	83	0	30	132	83	138	90	-1	2
end									
0									
	200	6	6	63	160	1	//축구공		
	239	6	6	72	164	1	//경기장경비		
end									
									
// --------------------------------------------------------------------------------------									
// 악마의 광장									
// --------------------------------------------------------------------------------------									
//	1광장								
1									
	17	9	30	119	80	150	115	-1	35
	15	9	30	119	80	150	115	-1	35
									
//	2광장								
	41	9	30	121	152	151	184	-1	35
	37	9	30	121	152	151	184	-1	35
									
//	3광장								
	294	9	30	49	138	79	173	-1	35
	60	9	30	49	138	79	173	-1	35
									
//	4광장								
	290	9	30	53	74	83	109	-1	35
	57	9	30	53	74	83	109	-1	35
									
//	5광장								
	434	32	30	120	80	150	115	-1	35
	435	32	30	120	80	150	115	-1	35
									
//	6광장								
	449	32	30	122	152	151	184	-1	35
	575	32	30	122	152	151	184	-1	35
end									
									
// ------------------------------------------------------------									
// 블러드 캐슬									
// ------------------------------------------------------------									
// type	mapnumber	distance	x	y	dir	total			
4									
232	11	0	10	9	1	//대천사			
232	12	0	10	9	1	//대천사			
232	13	0	10	9	1	//대천사			
232	14	0	10	9	1	//대천사			
232	15	0	10	9	1	//대천사			
232	16	0	10	9	1	//대천사			
232	17	0	10	9	1	//대천사			
132	11	0	14	95	0	//성자의석상			
132	12	0	14	95	0	//성자의석상			
132	13	0	14	95	0	//성자의석상			
132	14	0	14	95	0	//성자의석상			
132	15	0	14	95	0	//성자의석상			
132	16	0	14	95	0	//성자의석상			
132	17	0	14	95	0	//성자의석상			
131	11	0	14	75	0	//성문			
131	12	0	14	75	0	//성문			
131	13	0	14	75	0	//성문			
131	14	0	14	75	0	//성문			
131	15	0	14	75	0	//성문			
131	16	0	14	75	0	//성문			
131	17	0	14	75	0	//성문			
end									
									
	// type	mapnumber	distance	x	y	dir	total(->맵번호가11이면필요시활성화되고/dir이다리번호가된다.)		
4									
// 1번 다리  									
	85	11	30	13	45	0			
	88	11	30	13	78	0			
	86	11	30	15	46	0			
	88	11	30	14	83	0			
	88	11	30	14	78	0			
	86	11	30	15	63	0			
	87	11	30	13	69	0			
	84	11	30	14	34	0			
	86	11	30	15	53	0			
	85	11	30	13	23	0			
	85	11	30	15	43	0			
	84	11	30	14	38	0			
	86	11	30	13	65	0			
	88	11	30	15	78	0			
	86	11	30	13	67	0			
	87	11	30	14	61	0			
	88	11	30	16	80	0			
	86	11	30	15	59	0			
	86	11	30	13	59	0			
	86	11	30	15	55	0			
	85	11	30	15	39	0			
	84	11	30	13	35	0			
	86	11	30	13	62	0			
	87	11	30	13	55	0			
	85	11	30	15	37	0			
	84	11	30	13	28	0			
	85	11	30	13	29	0			
	85	11	30	15	28	0			
	85	11	30	13	25	0			
	85	11	30	13	21	0			
	85	11	30	14	22	0			
	85	11	30	15	21	0			
	85	11	30	13	31	0			
	85	11	30	15	30	0			
	85	11	30	15	33	0			
	87	11	30	14	58	0			
	84	11	30	15	35	0			
	84	11	30	14	33	0			
	84	11	30	15	41	0			
	84	11	30	14	42	0			
	85	11	30	14	21	0			
	84	11	30	15	25	0			
	84	11	30	15	23	0			
	84	11	30	13	26	0			
	86	11	30	13	41	0			
	86	11	30	15	69	0			
	84	11	30	13	37	0			
	85	11	30	13	43	0			
	86	11	30	13	50	0			
	86	11	30	15	48	0			
	86	11	30	13	46	0			
	88	11	30	15	62	0			
	87	11	30	14	52	0			
	87	11	30	15	50	0			
	87	11	30	15	66	0			
	89	11	30	16	87	0			
	89	11	30	12	81	0			
	88	11	30	17	83	0			
	88	11	30	14	90	0			
	88	11	30	11	83	0			
	89	11	30	13	88	0			
	89	11	30	13	85	0			
	89	11	30	19	85	0			
	89	11	30	13	93	0			
	88	11	30	15	94	0			
	84	11	30	14	40	0			
	89	11	30	14	80	0			
	89	11	30	18	81	0			
	84	11	30	13	39	0			
	88	11	30	20	82	0			
	88	11	30	20	88	0			
	84	11	30	14	27	0			
	84	11	30	14	24	0			
	84	11	30	14	32	0			
	86	11	30	14	44	0			
	86	11	30	15	51	0			
	86	11	30	14	49	0			
	87	11	30	14	56	0			
	86	11	30	15	57	0			
	86	11	30	14	64	0			
	86	11	30	14	67	0			
	87	11	30	14	70	0			
	86	11	30	13	53	0			
	84	11	30	15	45	0			
	88	11	30	14	54	0			
	88	11	30	14	36	0			
	88	11	30	15	68	0			
	87	11	30	13	48	0			
	88	11	30	14	47	0			
	87	11	30	13	63	0			
	86	11	30	15	65	0			
	86	11	30	15	60	0			
	86	11	30	13	57	0			
	84	11	30	15	31	0			
	85	11	30	15	26	0			
									
// 2번 다리									
	91	12	30	13	45	1			
	94	12	30	13	78	1			
	92	12	30	15	46	1			
	94	12	30	14	83	1			
	94	12	30	14	78	1			
	92	12	30	15	63	1			
	93	12	30	13	69	1			
	90	12	30	14	34	1			
	92	12	30	15	53	1			
	91	12	30	13	23	1			
	91	12	30	15	43	1			
	90	12	30	14	38	1			
	92	12	30	13	65	1			
	94	12	30	15	78	1			
	92	12	30	13	67	1			
	93	12	30	14	61	1			
	94	12	30	16	80	1			
	92	12	30	15	59	1			
	92	12	30	13	59	1			
	92	12	30	15	55	1			
	91	12	30	15	39	1			
	90	12	30	13	35	1			
	92	12	30	13	62	1			
	93	12	30	13	55	1			
	91	12	30	15	37	1			
	90	12	30	13	28	1			
	91	12	30	13	29	1			
	91	12	30	15	28	1			
	91	12	30	13	25	1			
	91	12	30	13	21	1			
	91	12	30	14	22	1			
	91	12	30	15	21	1			
	91	12	30	13	31	1			
	91	12	30	15	30	1			
	91	12	30	15	33	1			
	93	12	30	14	58	1			
	90	12	30	15	35	1			
	90	12	30	14	33	1			
	90	12	30	15	41	1			
	90	12	30	14	42	1			
	91	12	30	14	21	1			
	90	12	30	15	25	1			
	90	12	30	15	23	1			
	90	12	30	13	26	1			
	92	12	30	13	41	1			
	92	12	30	15	69	1			
	90	12	30	13	37	1			
	91	12	30	13	43	1			
	92	12	30	13	50	1			
	92	12	30	15	48	1			
	92	12	30	13	46	1			
	94	12	30	15	62	1			
	93	12	30	14	52	1			
	93	12	30	15	50	1			
	93	12	30	15	66	1			
	95	12	30	16	87	1			
	95	12	30	12	81	1			
	94	12	30	17	83	1			
	94	12	30	14	90	1			
	94	12	30	11	83	1			
	95	12	30	13	88	1			
	95	12	30	13	85	1			
	95	12	30	19	85	1			
	95	12	30	13	93	1			
	94	12	30	15	94	1			
	90	12	30	14	40	1			
	95	12	30	14	80	1			
	95	12	30	18	81	1			
	90	12	30	13	39	1			
	94	12	30	20	82	1			
	94	12	30	20	88	1			
	90	12	30	14	27	1			
	90	12	30	14	24	1			
	90	12	30	14	32	1			
	92	12	30	14	44	1			
	92	12	30	15	51	1			
	92	12	30	14	49	1			
	93	12	30	14	56	1			
	92	12	30	15	57	1			
	92	12	30	14	64	1			
	92	12	30	14	67	1			
	93	12	30	14	70	1			
	92	12	30	13	53	1			
	90	12	30	15	45	1			
	94	12	30	14	54	1			
	94	12	30	14	36	1			
	94	12	30	15	68	1			
	93	12	30	13	48	1			
	94	12	30	14	47	1			
	93	12	30	13	63	1			
	92	12	30	15	65	1			
	92	12	30	15	60	1			
	92	12	30	13	57	1			
	90	12	30	15	31	1			
	91	12	30	15	26	1			
									
// 3번 다리									
	97	13	30	13	45	2			
	111	13	30	13	78	2			
	98	13	30	15	46	2			
	111	13	30	14	83	2			
	111	13	30	14	78	2			
	98	13	30	15	63	2			
	99	13	30	13	69	2			
	96	13	30	14	34	2			
	98	13	30	15	53	2			
	97	13	30	13	23	2			
	97	13	30	15	43	2			
	96	13	30	14	38	2			
	98	13	30	13	65	2			
	111	13	30	15	78	2			
	98	13	30	13	67	2			
	99	13	30	14	61	2			
	111	13	30	16	80	2			
	98	13	30	15	59	2			
	98	13	30	13	59	2			
	98	13	30	15	55	2			
	97	13	30	15	39	2			
	96	13	30	13	35	2			
	98	13	30	13	62	2			
	99	13	30	13	55	2			
	97	13	30	15	37	2			
	96	13	30	13	28	2			
	97	13	30	13	29	2			
	97	13	30	15	28	2			
	97	13	30	13	25	2			
	97	13	30	13	21	2			
	97	13	30	14	22	2			
	97	13	30	15	21	2			
	97	13	30	13	31	2			
	97	13	30	15	30	2			
	97	13	30	15	33	2			
	99	13	30	14	58	2			
	96	13	30	15	35	2			
	96	13	30	14	33	2			
	96	13	30	15	41	2			
	96	13	30	14	42	2			
	97	13	30	14	21	2			
	96	13	30	15	25	2			
	96	13	30	15	23	2			
	96	13	30	13	26	2			
	98	13	30	13	41	2			
	98	13	30	15	69	2			
	96	13	30	13	37	2			
	97	13	30	13	43	2			
	98	13	30	13	50	2			
	98	13	30	15	48	2			
	98	13	30	13	46	2			
	111	13	30	15	62	2			
	99	13	30	14	52	2			
	99	13	30	15	50	2			
	99	13	30	15	66	2			
	112	13	30	16	87	2			
	112	13	30	12	81	2			
	111	13	30	17	83	2			
	111	13	30	14	90	2			
	111	13	30	11	83	2			
	112	13	30	13	88	2			
	112	13	30	13	85	2			
	112	13	30	19	85	2			
	112	13	30	13	93	2			
	111	13	30	15	94	2			
	96	13	30	14	40	2			
	112	13	30	14	80	2			
	112	13	30	18	81	2			
	96	13	30	13	39	2			
	111	13	30	20	82	2			
	111	13	30	20	88	2			
	96	13	30	14	27	2			
	96	13	30	14	24	2			
	96	13	30	14	32	2			
	98	13	30	14	44	2			
	98	13	30	15	51	2			
	98	13	30	14	49	2			
	99	13	30	14	56	2			
	98	13	30	15	57	2			
	98	13	30	14	64	2			
	98	13	30	14	67	2			
	99	13	30	14	70	2			
	98	13	30	13	53	2			
	96	13	30	15	45	2			
	111	13	30	14	54	2			
	111	13	30	14	36	2			
	111	13	30	15	68	2			
	99	13	30	13	48	2			
	111	13	30	14	47	2			
	99	13	30	13	63	2			
	98	13	30	15	65	2			
	98	13	30	15	60	2			
	98	13	30	13	57	2			
	96	13	30	15	31	2			
	97	13	30	15	26	2			
									
// 4번 다리									
	114	14	30	13	45	3			
	117	14	30	13	78	3			
	115	14	30	15	46	3			
	117	14	30	14	83	3			
	117	14	30	14	78	3			
	115	14	30	15	63	3			
	116	14	30	13	69	3			
	113	14	30	14	34	3			
	115	14	30	15	53	3			
	114	14	30	13	23	3			
	114	14	30	15	43	3			
	113	14	30	14	38	3			
	115	14	30	13	65	3			
	117	14	30	15	78	3			
	115	14	30	13	67	3			
	116	14	30	14	61	3			
	117	14	30	16	80	3			
	115	14	30	15	59	3			
	115	14	30	13	59	3			
	115	14	30	15	55	3			
	114	14	30	15	39	3			
	113	14	30	13	35	3			
	115	14	30	13	62	3			
	116	14	30	13	55	3			
	114	14	30	15	37	3			
	113	14	30	13	28	3			
	114	14	30	13	29	3			
	114	14	30	15	28	3			
	114	14	30	13	25	3			
	114	14	30	13	21	3			
	114	14	30	14	22	3			
	114	14	30	15	21	3			
	114	14	30	13	31	3			
	114	14	30	15	30	3			
	114	14	30	15	33	3			
	116	14	30	14	58	3			
	113	14	30	15	35	3			
	113	14	30	14	33	3			
	113	14	30	15	41	3			
	113	14	30	14	42	3			
	114	14	30	14	21	3			
	113	14	30	15	25	3			
	113	14	30	15	23	3			
	113	14	30	13	26	3			
	115	14	30	13	41	3			
	115	14	30	15	69	3			
	113	14	30	13	37	3			
	114	14	30	13	43	3			
	115	14	30	13	50	3			
	115	14	30	15	48	3			
	115	14	30	13	46	3			
	117	14	30	15	62	3			
	116	14	30	14	52	3			
	116	14	30	15	50	3			
	116	14	30	15	66	3			
	118	14	30	16	87	3			
	118	14	30	12	81	3			
	117	14	30	17	83	3			
	117	14	30	14	90	3			
	117	14	30	11	83	3			
	118	14	30	13	88	3			
	118	14	30	13	85	3			
	118	14	30	19	85	3			
	118	14	30	13	93	3			
	117	14	30	15	94	3			
	113	14	30	14	40	3			
	118	14	30	14	80	3			
	118	14	30	18	81	3			
	113	14	30	13	39	3			
	117	14	30	20	82	3			
	117	14	30	20	88	3			
	113	14	30	14	27	3			
	113	14	30	14	24	3			
	113	14	30	14	32	3			
	115	14	30	14	44	3			
	115	14	30	15	51	3			
	115	14	30	14	49	3			
	116	14	30	14	56	3			
	115	14	30	15	57	3			
	115	14	30	14	64	3			
	115	14	30	14	67	3			
	116	14	30	14	70	3			
	115	14	30	13	53	3			
	113	14	30	15	45	3			
	117	14	30	14	54	3			
	117	14	30	14	36	3			
	117	14	30	15	68	3			
	116	14	30	13	48	3			
	117	14	30	14	47	3			
	116	14	30	13	63	3			
	115	14	30	15	65	3			
	115	14	30	15	60	3			
