//대상 : 사제 제임스 (Index 725)						
//Text ver : 0.0.0.1						
//적용 : Season10 P.2 (루드샵 / 흑기사)						
//대상서버 : 일반서버(라이브)						
//최종작업자 : 사재일						
//최종작업일 : 2014-11-03 9:09 PM						
//작업내용 : 최초 작업						
//type	index	level	dur	op1	op2	op3
// 흑기사 조합재료 리스트						
16	42	0	0	0	0	0
13	351	0	0	0	0	0
13	352	0	0	0	0	0
13	353	0	0	0	0	0
13	354	0	0	0	0	0
0	42	0	0	0	0	0
14	341	0	0	0	0	0
14	386	0	0	0	0	0
14	389	0	0	0	0	0
14	384	0	0	0	0	0
14	364	0	0	0	0	0
12	289	0	0	0	0	0
//14	394	0	0	0	0	0
//14	395	0	0	0	0	0
//14	396	0	0	0	0	0
//14	397	0	0	0	0	0
14	390	0	5	0	0	0
end						
