//대상 : 사제 제임스 (Index 725)						
//Text ver : 0.0.0.1						
//적용 : Season10 P.2 (루드샵 / 마검사)						
//대상서버 : 일반서버(라이브)						
//최종작업자 : 사재일						
//최종작업일 : 2014-11-03 9:09 PM						
//작업내용 : 최초 작업						
//type	index	level	dur	op1	op2	op3
// 마검사 조합재료 리스트						
16	42	0	0	0	0	0
13	371	0	0	0	0	0
13	372	0	0	0	0	0
13	373	0	0	0	0	0
13	374	0	0	0	0	0
13	375	0	0	0	0	0
13	376	0	0	0	0	0
13	377	0	0	0	0	0
13	378	0	0	0	0	0
0	44	0	0	0	0	0
5	41	0	0	0	0	0
14	341	0	0	0	0	0
14	386	0	0	0	0	0
14	389	0	0	0	0	0
14	384	0	0	0	0	0
14	364	0	0	0	0	0
12	297	0	0	0	0	0
12	298	0	0	0	0	0
12	299	0	0	0	0	0
12	300	0	0	0	0	0
//14	394	0	0	0	0	0
//14	395	0	0	0	0	0
14	396	0	0	0	0	0
14	397	0	0	0	0	0
14	390	0	5	0	0	0
end						
